trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596026.44762540,0,0,0,0,0,0,0,0,0
0,0.6924385651651227,0.6801432535885168,1693596026.8747559,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.6920489180397426,0.6716165454545454,1693596027.3830717,7,16.06651537746812,0.6454523694564722,0.0035821026417581824,0.9464734771738273,0.948146544466719,1.8024079929419182e-07,1.1814865483077476e-06,3.27093589697536e-08
2,0.6911779577116186,0.6728926794258373,1693596027.7605584,5,2.445629933983007e-08,0.7284166121973555,0.01760841389861066,0.6392436413239877,0.8381274509900656,0.00810267042061917,1.7370760151751127e-08,0.0038774024457587535
3,0.6832698359380525,0.664461148325359,1693596028.106621,3,0.0024906663949926357,0.6417625408856593,0.029220631105386703,0.7202268588353697,0.5784338692374816,0.002795697514321583,0.6355469591289572,1.157804741454263e-05
4,0.692020808287957,0.675925043062201,1693596028.4753318,3,0.001105672093053424,0.9681918249302153,0.7585375984921967,0.8361918379564068,0.9514170542691991,2.867534904254722,6.024769184778858e-05,8.359303410192575e-08
5,0.6904618662046532,0.6718292057416267,1693596028.936325,8,0.17861992844396354,0.680782381531289,0.0001334358493013162,0.7032599581881243,0.7344701243495846,4.9244278922048166e-06,8.278044224786383e-06,0.0003774539662270762
6,0.6834879958984513,0.6700127081339712,1693596029.4233084,10,0.41810730755049325,0.6417439312161048,0.0002454073315358718,0.7273110377609734,0.6027051723024938,1.032255273953381e-06,0.0013814990740746368,7.452357626486135e-08
7,0.6878931829432147,0.6744796842105263,1693596029.8496554,6,0.0005108468985527274,0.8538433109078356,0.054166542556439046,0.8455464609278822,0.8445902068774571,5.4450420937883246e-05,0.048011806526712865,2.5031486415074758e-05
8,0.6845589067251256,0.6709398755980861,1693596030.300986,7,0.00017198598373394748,0.722572524631766,2.0306947879793023e-05,0.6213377110921691,0.9858013030867838,2.022283523874143e-06,0.08218169786077707,0.031971910026812836
9,0.6925607276713104,0.6735598755980862,1693596030.6983566,8,0.015002095931459052,0.7983318873009314,2.1619573375746267e-05,0.5362810689111167,0.5994880131485392,3.300729769169727e-07,1.0024055113887471e-07,1.9630829274126263e-07
10,0.5,0.5,1693596031.030403,11,21434.509126788165,0.530932709997957,1.4655377700378646e-05,0.5004053525351955,0.5304788796336778,3.363655788925108e-08,1.2000149459355628e-08,33.92516951855202
