trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693595548.871090,0,0,0,0,0,0,0,0,0
0,-0.47020991354458497,-0.14986446568699585,1693595549.4209723,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.23643637631335346,-0.2493845081617776,1693595549.8238409,9,1.861124137551614e-08,0.8168241174631377,0.05546505049361988,0.7492535061512953,0.6123983227654238,9.563759526973396e-07,0.40300192627116094,4.910303832962881e-07
2,-0.4299197363254865,-0.5994138794254793,1693595550.1094768,1,8.122274050843789,0.9766966730974682,1.046505057794038e-05,0.7560961316928883,0.9063104808260567,0.01334322066549959,0.16502630445045147,8.293936036104634e-06
3,-0.4295040781805506,-0.5988470156761871,1693595550.6191523,11,19.475346092319793,0.7712721840056307,5.138664194679253e-05,0.6866703800257346,0.8370668075331726,0.00026201837219340553,0.00021884666527130592,0.01505461954644427
4,-0.09059353437041628,-0.1525412809013813,1693595551.012768,6,2.8520909141542377,0.8005194767022722,0.10619791350957802,0.7608235761968171,0.9543244404043341,1.5572591447800067e-05,8.027743594569378e-08,1.0162500181582044e-05
5,-0.3147040665777152,-0.44137935731323297,1693595551.3319573,2,592.730454677773,0.5234481596946249,0.013534298216580247,0.7737930779596218,0.9096434978350343,9.760574862421093e-07,3.7025678398776036,3.284932079269039e-05
6,-0.425856898832768,-0.593807278693671,1693595551.713796,9,7.038857764707208e-05,0.9419682397805931,0.0004241878151176135,0.5825079488595742,0.6962646219732936,8.602085315767334e-08,1.6257605403637159,3.247283429798376e-07
7,-0.43001770031100195,-0.59954825040002,1693595551.9941492,5,18853.381651817843,0.9938127374509361,0.001912153423910879,0.91306142192137,0.6256870671035297,0.009412749094198732,10.673764174960096,0.002216049658169263
8,-0.42977677291284344,-0.5992148774149704,1693595552.3706121,7,3.240880173227432e-08,0.6785908793172681,2.500722207115075e-05,0.6527299591714091,0.665359655991066,0.547397692188383,2.5095282382096167e-08,0.00019720675381842506
9,-0.42985706145096514,-0.5993285317397954,1693595552.7430873,4,1.8809829540407301,0.6731735750400165,1.6424296669437108e-05,0.9399575872589581,0.8816202935718405,6.0390194346543735,0.00014965507137173735,0.011370397405663523
