trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693502212.2708530,0,0,0,0,0,0,0,0,0
0,0.02620940616103673,0.006135909540806117,1693502212.9898634,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.03081069317924512,-0.03384350966882166,1693502213.7555032,9,1.2247173221382845e-05,0.9121392663306842,0.6741336256721986,0.9863005569524467,0.7267246237086561,0.01231472243537097,0.569200333734333,0.02606954477399297
2,-0.1558310533631735,-0.2782395716684649,1693502214.5340037,8,2.8541369848051944e-08,0.6492247354445897,1.9613832376175547e-05,0.9285304712935994,0.6864270139374038,0.06287521972791787,3.654260413722262e-06,2.9909706510130013e-05
3,-0.15546527087025463,-0.27763140166617695,1693502215.0090058,1,0.00045534353537012294,0.9745470908391052,0.00012288391681556724,0.6596956831901823,0.9588861930002937,2.0846668692879778e-08,4.475539252349154e-08,0.019874215336571344
4,0.07104485735180377,0.06376389497653334,1693502215.6861103,10,1.2980891501193275e-08,0.8732886184969688,0.11593267452921759,0.5378587230861334,0.828227667298479,0.001237718837742457,0.0006292654900266621,35.953522753779
5,-0.1544121099183362,-0.2758331751330645,1693502216.1510947,1,1.624512707496438e-05,0.8561163389557918,0.0004196722457857783,0.6384981781919048,0.8477227262767373,15.329129087715637,2.784562832304729e-06,0.0003809413993232617
6,-0.023812524416968683,-0.03871539372432231,1693502216.6638231,3,0.0008537540743740481,0.8022694143158555,0.07276018563212656,0.5339587483972073,0.8430425395936567,0.0030380923697499386,2.3980626644511e-07,9.716999761028667e-08
7,-0.07905480000728482,-0.13819160587141943,1693502217.1754162,3,9.402137834087949e-07,0.962997239745109,0.025149252313555928,0.6188294609398417,0.7844426262782802,0.003684007573546306,5.337920591970451e-08,2.4950836145570063
8,-0.14517699911465076,-0.2581530916194561,1693502217.8832614,5,7.644038356448087e-07,0.5954600293332968,0.002839230719787018,0.8560121871248767,0.992469228850504,5.5958365080833925,0.0009781756306369335,1.1689607789721158e-07
9,0.04608158866404832,0.04964100324101106,1693502218.5845501,11,0.0005545075854689006,0.6132939384497142,0.2302286207431025,0.568179175879619,0.6181900800764102,0.008994819516327995,0.004357386572645773,38.84609069881495
10,-0.15550446378751848,-0.2776943946941153,1693502219.133514,5,4.7473906435301323e-07,0.8802838383836951,0.000101899106417586,0.5878649316065908,0.7185590063254055,2.527016214010272e-05,47.046907940481354,2.693151413573953e-07
11,-0.15578773810703828,-0.2781884479590371,1693502220.0036716,10,5.038251231843462,0.5546524540397728,2.7622800074947585e-05,0.9832310206386952,0.5971487426065032,6.591748062057835e-08,4.941365205127703e-06,0.03171795511045798
12,-0.1548370242146362,-0.27647528416353917,1693502220.6469588,7,11.413608458684475,0.9815490388514643,0.0002446851702494702,0.6168132309239834,0.9228360272395724,1.7463235320541734e-06,0.07745741437246415,3.4272546140460895e-07
13,-0.1556069293388207,-0.27784430156541284,1693502221.138392,3,7.564593876674843e-08,0.8747428477174873,7.950546410815065e-05,0.5621303551249619,0.6124036369543981,6.231542143705551e-06,2.1787997182363896e-08,3.4993860032838975e-06
14,-0.11428255858112313,-0.2059332416745112,1693502221.875303,8,75.67423652540765,0.6130072071333084,0.011461671223663683,0.9561280421593095,0.7708053141400069,5.4884649584397535e-05,1.3552089328623349e-08,1.9641603744638059
15,-0.04514612520013461,-3.067703882098094e-05,1693502222.6528547,9,1.0873304011459972e-07,0.5858376488385824,0.15514763547225788,0.7820801394309056,0.6748911068005157,2.818575214299888e-07,9.664752996304003e-08,0.003997736663692344
16,-0.15591089762637922,-0.2783911517575357,1693502223.1291628,8,22978.592535281383,0.8740256660630937,0.0007264907049677908,0.8792386527991018,0.5355367562312041,0.01653688436213708,0.1611166065753717,2.618702671192716e-08
17,-0.15537423649010695,-0.27745428731648625,1693502223.7112057,5,1.2514246490039484e-06,0.6380415424888293,0.00013568024420016915,0.6523419651525411,0.5681166905609756,0.08759928794228747,3.378018470005802e-08,0.006522033243692321
18,-0.1532865914647712,-0.27389961533339036,1693502224.2234576,2,0.038635590762566695,0.6407594184342134,0.0007085726551206868,0.7522644564874352,0.5611656056455887,2.0260118929415038e-07,2.7806259077969253,8.35575057448116e-05
