trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693505251.61904290,0,0,0,0,0,0,0,0,0
0,0.06807045272642631,0.0912764667902678,1693505252.4355626,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.22881724019782723,-0.25190048417662325,1693505252.990113,5,23.132278628720066,0.5000571874086724,0.00032483503450866756,0.5733779454085566,0.5461692973843989,7.287895114844963e-07,2.855007611568483e-05,9.282709131819133e-05
2,-0.23007542560424143,-0.2532528184234544,1693505253.5856724,6,0.0028153259748355144,0.8426097501983798,0.00010525948689799706,0.9390587181954727,0.5136937965989631,0.0506611567427365,0.00014895257782642692,0.0038627649714580445
3,0.07368406777427183,0.09651950598802672,1693505254.1108174,2,3.7611387766590733e-06,0.9003722843377684,0.6939175614145937,0.6567120890796214,0.846161307834657,5.806193736857094,8.832154042762644,7.086668432729122e-08
4,-0.2305267338922372,-0.2537453399189802,1693505254.6066773,1,1.613598399141702e-06,0.9390712517147066,3.1026598745141294e-05,0.7105538125025261,0.978944765075251,0.002146114306792388,0.08294135756246057,1.4294083346067351e-05
5,-0.046060398938087,-0.05538878388661761,1693505255.3169713,8,708.1638195550685,0.5091441386720958,0.05632764247197713,0.9944305444532473,0.8740828271899197,6.3744089274568356e-06,0.7812558539177495,1.0771100194259757e-07
6,-0.22977952744692387,-0.2529515505902131,1693505255.770252,5,6482.485293956237,0.6468070741868397,0.00027471140679557234,0.5650142860591388,0.5096834789351485,0.06142643761017295,1.3070167701871164e-06,4.523416665126919e-06
7,-0.23034833039715585,-0.25355654238384817,1693505256.5007257,6,4.9398423208816553e-08,0.7870588027460066,5.415553798809469e-05,0.7946527684516421,0.8498791800104656,1.0552230962330523e-07,0.00013821649582619356,0.08790257092843247
8,-0.1250363490994566,-0.13938536204014262,1693505257.2525861,5,4.460617319357048e-08,0.7679482029577558,0.020843623798933626,0.7574445560291543,0.9722973779954067,0.007337538703063878,10.814816448124349,2.3699928809284863e-07
9,-0.23033083494345274,-0.2535363600601275,1693505257.7937782,2,313.39116815865873,0.6988384184927667,6.710748849223313e-05,0.963754290198017,0.6738829298727533,0.3221966579962527,0.18196164464280448,6.808648468304278
10,0.08356344675179983,0.10101561550644778,1693505258.5468268,11,0.0004054019617013688,0.8995894593461367,0.8675228225733036,0.507966971278504,0.7459316328963278,12.963751874737467,85.88230327239138,3.064387235461631e-08
11,0.054876222129614516,0.06511449259067337,1693505259.3119555,11,0.00015636956911532516,0.8811399236814128,0.7504445559128344,0.5087133255779515,0.7366793937132795,71.16577344754747,42.63854842409207,3.5621759286623236e-08
12,0.06507009994271407,0.07868559642889827,1693505260.1457856,11,3.5547242260562885e-05,0.9294504780293793,0.9053310249960581,0.6273493396734732,0.8078823993090658,41.68982382137151,52.65449548553943,1.1232306999081793e-08
13,0.04097963184829467,0.04254606799202576,1693505260.8148477,9,0.02064286673007205,0.8533471086301474,0.12630109856292182,0.5028736753146659,0.719288532613445,3.8067223696684347,0.01589957331491816,1.5699649058807518e-08
14,-0.16109865516303046,-0.179103417547823,1693505261.4288807,3,1.4573350256695527e-05,0.9897625316286105,0.014192858550052265,0.6563487055635058,0.8021979495717624,3.0188582234188064,77.58965619081155,1.057996677990433e-06
15,0.04463863753769515,0.06696670302938468,1693505262.0803182,8,0.0017075335604025013,0.9052425691412829,0.17026385444708414,0.6316744116582583,0.6332541065397255,13.39928133697989,0.0029182487552324964,8.043737007953159e-07
16,-0.20840849342702783,-0.22983806866283873,1693505262.8413815,9,0.33065860254133933,0.8380284815263492,0.0035401327642568866,0.5672793358037087,0.909829401177175,1.4739791466797163,2.9762247512819537,1.0371880383601507e-08
17,0.053534488602991925,0.07038160117198133,1693505263.4203157,3,1.0140224607479247e-06,0.9367844586692683,0.6600297476534556,0.7010806492134409,0.7894981143745481,61.593346385901995,4.766015671877933,7.046131559304496e-05
18,-0.03263357688033319,-0.039017065550973395,1693505263.9505727,1,0.0011199736081789374,0.8062146858202562,0.0708732806507404,0.8331966835089153,0.7464679325601058,0.8114994971342653,0.024183990605685362,9.818174892763338e-07
19,0.0741859630652173,0.0834032229130981,1693505264.5458868,3,1.0353140980501055e-08,0.8914314531486931,0.24847978141306648,0.6694546540492852,0.8581235754411718,16.037947966536912,97.52622106290703,7.595795007155046e-08
20,0.04301082363712394,0.04865689559201336,1693505265.1774445,4,1.4180138633678653e-08,0.7316337783059771,0.24999719523874045,0.5966040410728375,0.912703987620369,86.63888166092283,0.5466427740943849,7.890048550959975e-06
21,0.06870725738191241,0.08407157175732427,1693505265.7304778,2,7.990703640496018e-07,0.898150793110186,0.3228775896185514,0.6779387114461886,0.847420741731269,7.397314548755019,10.067816929027684,1.9558304172957134e-07
22,0.09338177575475581,0.11309379005310383,1693505266.2811606,3,2.6178537418066248e-05,0.9547003104098672,0.7173031757020024,0.6225662775715297,0.7811999137565954,8.068086084689654,96.5279964969468,7.851334171106379e-08
23,0.0003752965952141807,-0.002083502719916419,1693505266.8456798,4,0.00013027860746179704,0.9655653386095865,0.07472663593142259,0.5396782854737251,0.7752733240529459,0.4477044906811173,85.77457567591959,1.6784021156159634e-07
