trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693534702.70127180,0,0,0,0,0,0,0,0,0
0,0.01073458661813953,0.009150774276569962,1693534702.809325,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.11055162662684781,-0.10611358419750427,1693534702.9093232,2,1.7913404771652702e-08,0.7316092632491723,0.04213758542413122,0.7101018022938637,0.7427135490838912,1.3421719117853382e-08,0.0007476805328662186,26.185840813869902
2,0.001322258886606864,0.0014208734002790768,1693534703.0060189,10,30.87010544062739,0.5543680359344875,0.29479550109592784,0.9285771235364149,0.5825433087976135,0.021054267586068445,1.602640553145335e-08,1.4701873709556006e-07
3,-0.012930775992220811,-0.012482338339360632,1693534703.1049654,4,1.1294317358014939e-06,0.8794897940802526,0.12341751262217587,0.6723122454796087,0.6593993984312168,1.308013781858416e-07,6.910849467096847e-08,0.13404769696322663
4,-0.25564638430657993,-0.24542820926363373,1693534703.2012088,7,5.2936818247909154e-08,0.7398986408297152,0.001019488668842242,0.9239894987734872,0.8589245896699393,0.010486740287511545,0.0033407056767168677,30.975903129420928
5,-0.03146319516172058,-0.030071868487999698,1693534703.2969189,11,0.00024814335252747557,0.6199373395262366,0.09597956337668573,0.5318432153873277,0.6823078214980205,5.0145045099546126e-08,1.5619857608596505e-05,5.056219870758005e-08
6,-0.03215004267139987,-0.03100622717297208,1693534703.3953853,4,186.77321934796618,0.9527001604000359,0.09185587222410166,0.7809093550724392,0.8080091925363257,4.1194138236065904e-05,4.87722718522699e-07,0.00023036120236381223
7,-0.05519840212711946,-0.0528733975153699,1693534703.495265,9,6.569602760668527e-08,0.5103664894405857,0.07124269373531136,0.6499760047152772,0.8505821375217584,0.22216580214348394,21.332721903665163,0.00010075911150241139
8,-0.17979397228246463,-0.17256428692218795,1693534703.5932176,4,305.75127874247585,0.8822455482722358,0.018326253916881197,0.9054832869775337,0.8211074293705276,37.53535505091758,2.181444732592414e-05,0.24128272468457024
9,-0.25741067123167727,-0.247117892784803,1693534703.6883023,11,0.00022219485787341965,0.8058159983674071,0.000673520529416276,0.7307701456936502,0.5375009965543578,1.561110421599126e-08,0.39490685773583634,0.00033697031579184376
10,-0.26070990968763086,-0.25029617259089143,1693534703.8188999,7,0.7863691663417279,0.9913776012725353,2.6175614792643717e-05,0.98516068861046,0.9966211679152841,5.977373652939607e-06,48.6609776406029,2.914024144098926e-08
11,-0.2608460008374205,-0.2504271067690438,1693534703.9537446,9,94515.42220555426,0.6217665484933087,0.876581584167419,0.9836554672007347,0.9979938207932876,9.889625811681359e-06,1.1434401187912902e-08,1.0496360610414647e-08
12,0.0024425128865004364,0.0026255322581257845,1693534704.0837862,6,0.5814111239961395,0.9995099580501857,0.8428961075214441,0.8656818887635562,0.5421167565808144,0.0017384942178497232,0.2020530582255729,2.1371952672318367e-06
13,0.002438476681014712,0.002622714221860556,1693534704.2128203,6,0.022761225240397948,0.9800216054255582,0.861954848117579,0.8433725508156638,0.5227716912238667,0.00033338286019864627,0.41857680337372505,3.0338009952134324e-06
14,-0.21564573153073852,-0.20688808846869056,1693534704.3398976,6,0.09053132820672621,0.9296912406236197,0.009621749089300696,0.8322980620044325,0.5857468545982397,1.0935191930429669e-06,0.30105315823211515,1.918250942557891e-06
