trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693929482.92877480,0,0,0,0,0,0,0,0,0
0,0.1727034816587092,0.16647134710594336,1693929483.1680498,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.23456927433377928,-0.26067234509367254,1693929483.4328122,10,0.00020688903261699735,0.9106145615289158,1.616155440846263e-05,0.553828339967984,0.7975260321031201,0.0019868890756545563,0.0001541964181575402,2.259844168955883e-05
2,-0.20911293268938835,-0.23370553526632354,1693929483.6657543,7,0.004964077342930281,0.8679410531743451,0.003892082702672994,0.7894293001130785,0.8226775479477969,79.8440786425614,1.579726738965914,0.0001355218583033099
3,-0.03663621321171617,-0.05049350034368705,1693929483.9064565,10,511.53178360641203,0.5272372539111774,0.039190985355431786,0.9010852812122376,0.8682033219057195,0.12340066719269657,0.0025666611856050726,1.7710945384076957e-07
4,-0.018913486531049406,-0.03478970996165964,1693929484.2317944,11,0.0017471568028661472,0.60847558016178,0.0385815109988853,0.9971037192109689,0.6278070278004175,0.05165285359469164,0.00977370285806616,0.14904638792452585
5,-0.22745073406742433,-0.2533079536870473,1693929484.5507693,11,0.0003745648251837736,0.626817048735698,0.001028874835319476,0.8732553585924925,0.8620352837058441,0.00011510069886759143,78.30662075108606,0.0003198842131774002
6,-0.22740173649258488,-0.2531553854857902,1693929484.78621,5,16.794685678451557,0.5412292766558542,0.0009814418977192234,0.8854404831539399,0.8823754917502336,6.895945739139864e-06,7.859988374814067e-07,0.0005158336235965756
7,-0.23169149437603354,-0.25764648911290156,1693929485.0037332,4,35.608654863991426,0.5945535577674321,0.0004523976815718186,0.9221142104112845,0.807512017161188,7.1226367698469595,58.28143066398067,2.339300044439826
8,-0.22754159068891022,-0.2532172323743065,1693929485.1924987,2,1.0948045909466755,0.7380544366366721,0.0010490188045599355,0.8709418437745046,0.9129666445845919,0.06796703190789989,2.4701086408306116e-07,0.10672116905411437
9,-0.2281601706625318,-0.253935081900162,1693929485.368766,1,3.1963267673250307e-06,0.9623968824775981,0.0010605039411405292,0.5741457663004716,0.8411435653372918,4.31407317843011e-07,0.030356549852627167,3.2820215754536146e-06
10,-0.23469975832665502,-0.26080814895521987,1693929485.5474548,1,29066.571219776517,0.5331102404067158,0.0036702946480054077,0.6706482956099604,0.8300049093226989,2.781463538051264,0.010931142782007849,0.007449667849644017
11,-0.21794922447776344,-0.24327800219549567,1693929485.7320216,2,17.21291248759736,0.6022616289225664,0.0028303423277348657,0.5183042652180054,0.6577017877943855,4.268782927496999,0.0038429628154069964,0.002931421459371289
12,-0.23441462939921087,-0.2605074992145311,1693929485.9445693,5,583.4946874665234,0.6381752297163195,4.249048696057968e-05,0.7813905397463381,0.6336695026869719,0.5627937723535171,6.223912170075308e-07,0.6800905078743044
