trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693518124.59924460,0,0,0,0,0,0,0,0,0
0,0.2041144805435381,0.20062131729504473,1693518126.0623584,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2307108751934961,-0.2602231956798722,1693518127.0053415,1,0.03344796483344315,0.747886646567073,4.668180550042523e-05,0.5710555427272692,0.6092793378130391,0.0001531375889401282,3.026994864417314e-06,6.927818666795106e-08
2,0.21000651558786598,0.20256918279081693,1693518128.084783,4,1.472626139059804e-06,0.9392795427663295,0.5686174169288153,0.51937418791616,0.8495536956993806,0.005340699660693536,9.551491251821222,0.04666483442307472
3,-0.06817252765664161,-0.08673502355126805,1693518129.5533106,7,13.538062442304321,0.6932385848073327,0.02966151905790782,0.912435232250274,0.732834237683633,25.42401260990867,1.0899277251228565,68.1698725811684
4,-0.1190201729315794,-0.14008664623827616,1693518130.6385183,2,0.059443072470468594,0.9727587084881204,0.017688960649082715,0.9304159616128483,0.9854230060451126,7.168311499203435e-07,2.69871332332826e-06,5.420114124325265
5,-0.21447762836026585,-0.2430224555091851,1693518132.2884088,10,72.04665604023194,0.6734509768877599,0.002078134105687423,0.8052688704240647,0.7481408588355936,0.0006021991461313451,0.00022675383855795482,5.059213000720602
6,0.20079036658224847,0.20196778203448218,1693518133.338388,3,8.704888476911195,0.851764586900694,0.4226689902787436,0.5197274088371335,0.8235583567725557,0.02401816628075129,0.00041397739246596836,3.3930811371921093e-08
7,-0.23059763307768133,-0.2601028346749008,1693518134.2905378,1,1.599220634208016e-06,0.8972739434892697,6.501749497837138e-05,0.5693693498897759,0.676458476616341,0.0006998171020705578,0.09492133797496677,1.0269855120993017
8,-0.2310170438214203,-0.2605478372545862,1693518135.2413728,3,6655.653749687402,0.5114334749848384,0.0007509548257478895,0.5998166643241123,0.6714026145807052,0.0002761359497081058,0.0009580674901532316,0.0001391436040121614
9,0.0013726023546031252,-0.013086716780401408,1693518136.3637683,3,6.551130721544714e-06,0.6161535636232494,0.044200593732939074,0.7079593335073961,0.7919490890068998,0.0008777403254593841,0.00019974142417514615,0.22266818562635585
10,-0.22987837604905592,-0.2593636795547254,1693518137.5983186,7,8.594059211740393e-05,0.9853990974067279,0.00013311072860086741,0.5693845784773364,0.8074662376811094,0.0008304039242260523,6.78464824913368e-07,1.2390965610351478e-07
11,-0.20881165349258102,-0.2369937093135157,1693518138.8657963,6,5.7662127242972626e-05,0.5515270259230617,0.0028379696120051164,0.8160458423662276,0.5189846084634742,0.0010024880500763905,6.845959085847631e-08,0.8188085095135057
12,0.1413006649568529,0.12593984367461197,1693518140.3598313,9,2.5677448712209514e-05,0.5504292955226109,0.3854459890844627,0.7587301208844153,0.5667698379617168,1.3348459262719103e-07,2.60862399135241,0.0028889988256265557
13,0.10639590182270797,0.10114413816592582,1693518141.5256338,3,0.3060072610212641,0.6569263033889612,0.09080628877002986,0.7465453592014795,0.9825790917300232,0.001596318125770757,10.720522557443172,3.148078882013961e-06
14,-0.23082141472751072,-0.26034314075004117,1693518142.931979,6,0.03755725856367031,0.906535740364132,2.3225822685671765e-05,0.9181035003723728,0.9021178176894149,0.0001156678620947626,2.314794720778038e-08,0.47047989506070753
15,-0.2310170438214203,-0.2605478372545862,1693518143.874593,8,8832.335292324173,0.7800928111510286,0.6895961030975372,0.6541921755378416,0.6694449830576761,0.20361891290289053,0.10320460104464728,0.17926240500161764
16,0.19580790363485967,0.1923267979077482,1693518145.4067252,10,20.72230855781035,0.8410763850857014,0.16427981694792376,0.8225594992475864,0.6513494440643792,1.9400459775902068,2.8002414299607485e-06,0.1090955233267206
17,0.17116911573912486,0.18451841951611636,1693518146.716612,6,0.0008923264034879561,0.5893089675794262,0.2686321711480794,0.5401167467423934,0.9017943235377575,0.06834449186773905,0.0004169696191610341,0.04370117302232012
18,-0.19047477161391346,-0.21755613698423182,1693518147.8584669,4,1586.6168936832817,0.5892397779463683,0.007916877188912427,0.7318171912343179,0.8366109133596731,0.0005770913225978319,33.505147570762155,3.408602075962316
19,-0.21077512762904616,-0.23910984187090456,1693518149.6532073,10,2.1498014096441493e-08,0.5782114510892171,0.002423766345263609,0.8673609205066658,0.6781547386624789,0.004410992575419949,2.8490166120290162e-08,0.025375409296504288
20,-0.22093471771139184,-0.2498939396568387,1693518151.3688607,8,0.001390872038807484,0.5683365051691125,0.0012086171731059895,0.8692314170781956,0.7921538178784508,6.828609231609413,0.006130503055247575,6.021498783068625e-07
