trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693532313.49601550,0,0,0,0,0,0,0,0,0
0,0.5948178271143595,0.5868063046437457,1693532313.6088412,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5613142487561348,0.5589827815923629,1693532313.7260473,5,23.132278628720066,0.5000571874086724,0.00032483503450866756,0.5733779454085566,0.5461692973843989,7.287895114844963e-07,2.855007611568483e-05,9.282709131819133e-05
2,0.5613142487561348,0.5589827815923629,1693532313.8345683,6,0.0028153259748355144,0.8426097501983798,0.00010525948689799706,0.9390587181954727,0.5136937965989631,0.0506611567427365,0.00014895257782642692,0.0038627649714580445
3,0.5783983835036206,0.5766215604376648,1693532313.9390228,2,3.7611387766590733e-06,0.9003722843377684,0.6939175614145937,0.6567120890796214,0.846161307834657,5.806193736857094,8.832154042762644,7.086668432729122e-08
4,0.5948274652203871,0.5868382527819187,1693532314.0366926,1,1.613598399141702e-06,0.9390712517147066,3.1026598745141294e-05,0.7105538125025261,0.978944765075251,0.002146114306792388,0.08294135756246057,1.4294083346067351e-05
5,0.5,0.5,1693532314.1336563,8,708.1638195550685,0.5091441386720958,0.05632764247197713,0.9944305444532473,0.8740828271899197,6.3744089274568356e-06,0.7812558539177495,1.0771100194259757e-07
6,0.5,0.5,1693532314.2294242,5,6482.485293956237,0.6468070741868397,0.00027471140679557234,0.5650142860591388,0.5096834789351485,0.06142643761017295,1.3070167701871164e-06,4.523416665126919e-06
7,0.5948274652203871,0.5868382527819187,1693532314.3348846,6,4.9398423208816553e-08,0.7870588027460066,5.415553798809469e-05,0.7946527684516421,0.8498791800104656,1.0552230962330523e-07,0.00013821649582619356,0.08790257092843247
8,0.5948274652203871,0.5868382527819187,1693532314.4435697,5,4.460617319357048e-08,0.7679482029577558,0.020843623798933626,0.7574445560291543,0.9722973779954067,0.007337538703063878,10.814816448124349,2.3699928809284863e-07
9,0.5532298223291244,0.5482594580667705,1693532314.5433683,2,313.39116815865873,0.6988384184927667,6.710748849223313e-05,0.963754290198017,0.6738829298727533,0.3221966579962527,0.18196164464280448,6.808648468304278
10,0.5948274652203871,0.5868382527819187,1693532314.6765647,11,0.0004054019617013688,0.9835976409771159,1.5770588036031255e-05,0.5081349028703394,0.7164988568971566,0.00040770673234493104,1.9195121795303477e-08,0.0005651465814707874
11,0.5948274652203871,0.5868382527819187,1693532314.8286378,1,1.865221907728158e-08,0.8673205236366132,0.0015463833653032203,0.7847770597039946,0.8951726204385378,0.00016507204728230215,0.0111307298662245,0.1436161948105005
12,0.5878500682699177,0.5777515025568454,1693532314.9663024,9,8.369859653651374e-06,0.795855510335677,1.242659411892863e-05,0.8165209752266892,0.7924868913597188,1.6296847085410447e-05,0.0032449277510060268,63.85620903228309
13,0.5948274652203871,0.5868382527819187,1693532315.109307,3,2.523889674162703e-06,0.9273273150574728,0.0008207540719952082,0.7067082971022236,0.9525800781890945,5.883513868181035e-07,0.016103330919317864,0.1856290690659313
14,0.5948274652203871,0.5868382527819187,1693532315.2481968,8,1.040650502398335e-08,0.8146241958309068,4.0064852087864766e-05,0.8480537315527048,0.9207085035583408,0.0006415015141787941,0.000327616770301578,0.019233001793219972
15,0.5948274652203871,0.5868382527819187,1693532315.3894753,3,0.0001141908268896523,0.9257454122591655,1.1177617387403813e-05,0.7106564397120155,0.8260982816872539,0.0031058881699600805,0.05798703783343821,1.157093485065166
16,0.5948274652203871,0.5868382527819187,1693532315.5333018,11,0.0436173103750147,0.74296284206466,0.0035401327642568866,0.8616276362442374,0.9221995073617245,2.631519159732617e-05,75.64600060937398,0.002355484099167965
17,0.5948274652203871,0.5868382527819187,1693532315.6749365,4,3.400471602115497e-07,0.8735340980283927,0.00011048981749580267,0.8892081606233917,0.9884787308543654,1.677534072316628e-07,0.0022156229232695866,0.019962713547776907
18,0.5948274652203871,0.5868382527819187,1693532315.8281403,1,2.0382458004436793e-07,0.9505087979676359,3.5303978884767485e-05,0.7943583266203939,0.8756688363802312,29.374092435564396,4.364819837549957e-05,0.00019493737567666513
19,0.5948274652203871,0.5868382527819187,1693532315.9754405,9,5.5064381175292746e-05,0.8352680959171676,0.00024787058843807173,0.7301918763177327,0.933229956348296,3.917703846458942e-08,0.001406901359089828,3.574570541033759
20,0.5948274652203871,0.5868382527819187,1693532316.1199899,7,2.7135983222427896e-07,0.8985093548295014,3.5962857966409424e-05,0.6548956344216517,0.8096817396689231,0.00012292501136023425,0.0674024732165864,7.923228250663187e-05
21,0.5948274652203871,0.5868382527819187,1693532316.270182,4,2.5263781057271418e-08,0.7769941061557245,0.00619411969915555,0.7642236726168024,0.9769280455639672,0.0037942884464619952,4.6977772667734,6.182243019056298e-06
22,0.5948274652203871,0.5868382527819187,1693532316.4128735,6,6.849063385752408e-07,0.7535216703020965,0.004703916730434125,0.7548979630335325,0.9510471822337454,0.0029900349923592294,22.83563575922056,5.7843607054147295e-06
